League,Season,Season_Index,League_Position,Team,Team_clean,Points,W,D,L,GF,GA,Financial_Rank,Market_Value_M_EUR,Normalized_Value,Log_Normalized_Value,Champion
Ligue 1,2016-2017,2,2,Paris Saint-Germain,paris saint-germain,87,27,6,5,83,27,1,519,1,0,No
Ligue 1,2016-2017,2,3,Nice,ogc nice,78,22,12,4,63,36,4,132.8,0.2558766859344894,-1.3630596461235551,No
Ligue 1,2016-2017,2,4,Lyon,olympique lyon,67,21,4,13,77,48,3,211.35,0.40722543352601154,-0.8983883561530898,No
Ligue 1,2016-2017,2,5,Marseille,olympique marseille,62,17,11,10,57,41,5,119.65,0.2305394990366089,-1.4673330688115065,No
Ligue 1,2016-2017,2,6,Bordeaux,girondins bordeaux,59,15,14,9,53,43,6,88.9,0.17129094412331408,-1.7643917406460297,No
Ligue 1,2016-2017,2,7,Nantes,nantes,51,14,9,15,40,54,13,50.9,0.09807321772639692,-2.3220409596094114,No
Ligue 1,2016-2017,2,8,Saint-Étienne,as saint-etienne,50,12,14,12,41,42,7,85.03,0.16383429672447014,-1.8088997477681872,No
Ligue 1,2016-2017,2,9,Stade Rennais,stade rennais,50,12,14,12,36,42,9,80.9,0.15587668593448942,-1.8586900591014424,No
Ligue 1,2016-2017,2,10,Guingamp,ea guingamp,50,14,8,16,46,53,15,42.5,0.08188824662813102,-2.5023998072355176,No
Ligue 1,2016-2017,2,11,Lille,losc lille,46,13,7,18,40,47,8,83.9,0.16165703275529866,-1.822278269692728,No
Ligue 1,2016-2017,2,12,Angers,angers sco,46,13,7,18,40,49,14,46.08,0.08878612716763006,-2.421524866778253,No
Ligue 1,2016-2017,2,13,Toulouse,toulouse,44,10,14,14,37,41,10,77.3,0.1489402697495183,-1.9042099275725124,No
Ligue 1,2016-2017,2,14,Metz,metz,43,11,10,17,39,72,16,37.55,0.07235067437379576,-2.626230504955745,No
Ligue 1,2016-2017,2,15,Montpellier,montpellier hsc,39,10,9,19,48,66,12,60.95,0.1174373795761079,-2.141850027238608,No
Ligue 1,2016-2017,2,16,Dijon FCO,dijon fco,37,8,13,17,46,58,20,31.2,0.06011560693641618,-2.811485788350452,No
Ligue 1,2016-2017,2,17,Caen,sm caen,37,10,7,21,36,65,17,36.65,0.07061657032755299,-2.650490454833228,No
Ligue 1,2016-2017,2,18,Lorient,lorient,36,10,6,22,44,70,11,61.1,0.11772639691714835,-2.139392016988339,No
Ligue 1,2016-2017,2,19,AS Nancy Lorraine,as nancy-lorraine,35,9,8,21,29,52,19,33.1,0.06377649325626204,-2.752370600782871,No
Ligue 1,2016-2017,2,20,Bastia,bastia,34,8,10,20,29,54,18,36.45,0.07023121387283238,-2.6559624247112215,No
Ligue 1,2017-2018,3,1,Paris Saint-Germain,paris saint-germain,93,29,6,3,108,29,1,900.1,1,0,Yes
Ligue 1,2017-2018,3,2,AS Monaco,as monaco,80,24,8,6,85,45,2,529.8,0.5886012665259415,-0.5300062914250704,No
Ligue 1,2017-2018,3,3,Lyon,olympique lyon,78,23,9,6,87,43,3,363.8,0.4041773136318187,-0.9059016021790176,No
Ligue 1,2017-2018,3,4,Marseille,olympique marseille,77,22,11,5,80,47,4,236.8,0.26308187979113434,-1.3352899652531889,No
Ligue 1,2017-2018,3,5,Stade Rennais,stade rennais,58,16,10,12,50,44,7,131.25,0.14581713142984112,-1.9254019667913065,No
Ligue 1,2017-2018,3,6,Bordeaux,girondins bordeaux,55,16,7,15,53,48,6,155.45,0.17270303299633372,-1.7561817317582769,No
Ligue 1,2017-2018,3,7,Saint-Étienne,as saint-etienne,55,15,10,13,47,50,9,106.88,0.11874236195978224,-2.130799158474704,No
Ligue 1,2017-2018,3,8,Nice,ogc nice,54,15,9,14,53,52,5,204.1,0.22675258304632817,-1.4838957984472405,No
Ligue 1,2017-2018,3,9,Nantes,nantes,52,14,10,14,36,41,10,105.7,0.11743139651149873,-2.141900975386847,No
Ligue 1,2017-2018,3,10,Montpellier,montpellier hsc,51,11,18,9,36,33,12,71.85,0.07982446394845016,-2.5279252557380056,No
Ligue 1,2017-2018,3,11,Dijon FCO,dijon fco,48,13,9,16,55,73,13,70.3,0.078102433062993,-2.549734069446421,No
Ligue 1,2017-2018,3,12,Guingamp,ea guingamp,47,12,11,15,48,59,17,51.9,0.05766025997111432,-2.8531870780911968,No
Ligue 1,2017-2018,3,13,SC Amiens,amiens,45,12,9,17,37,42,14,69.85,0.0776024886123764,-2.5561557825600687,No
Ligue 1,2017-2018,3,14,Angers,angers sco,41,9,14,15,42,52,15,69.55,0.07726919231196533,-2.5604599498935876,No
Ligue 1,2017-2018,3,15,Strasbourg,strasbourg alsace,38,9,11,18,44,67,19,45.6,0.05066103766248194,-2.982598151742699,No
Ligue 1,2017-2018,3,16,Caen,sm caen,38,10,8,20,27,52,16,60.1,0.06677035884901678,-2.7064960267218776,No
Ligue 1,2017-2018,3,17,Lille,losc lille,38,10,8,20,41,67,11,96.75,0.1074880568825686,-2.230375536353149,No
Ligue 1,2017-2018,3,18,Toulouse,toulouse,37,9,10,19,38,54,8,110.45,0.12270858793467392,-2.0979429383969133,No
Ligue 1,2017-2018,3,19,Troyes,estac troyes,33,9,6,23,32,59,20,45.05,0.05004999444506165,-2.994732884208693,No
Ligue 1,2017-2018,3,20,Metz,metz,26,6,8,24,34,76,18,51.2,0.0568825686034885,-2.8667663362175775,No
Ligue 1,2018-2019,4,1,Paris Saint-Germain,paris saint-germain,91,29,4,5,105,35,1,1010,1,0,Yes
Ligue 1,2018-2019,4,2,Lille,losc lille,75,22,9,7,68,33,4,267.55,0.2649009900990099,-1.3283991450779915,No
Ligue 1,2018-2019,4,3,Lyon,olympique lyon,72,21,9,8,70,47,2,467.95,0.4633168316831683,-0.7693441572320397,No
Ligue 1,2018-2019,4,4,Saint-Étienne,as saint-etienne,66,19,9,10,59,41,9,131.25,0.12995049504950495,-2.040601708363572,No
Ligue 1,2018-2019,4,5,Marseille,olympique marseille,61,18,7,13,60,52,5,258.35,0.2557920792079208,-1.3633903551021116,No
Ligue 1,2018-2019,4,6,Montpellier,montpellier hsc,59,15,14,9,53,42,12,109.85,0.10876237623762376,-2.2185898110046858,No
Ligue 1,2018-2019,4,7,Nice,ogc nice,56,15,11,12,30,35,6,183.2,0.18138613861386135,-1.7071271575952751,No
Ligue 1,2018-2019,4,8,Stade de Reims,stade reims,55,13,16,9,39,42,15,86.95,0.0860891089108911,-2.452372369035013,No
Ligue 1,2018-2019,4,9,Nimes,nmes olympique,53,15,8,15,57,58,14,88.15,0.08727722772277229,-2.4386657009914257,No
Ligue 1,2018-2019,4,10,Stade Rennais,stade rennais,52,13,13,12,55,52,8,168.45,0.16678217821782176,-1.7910666399827433,No
Ligue 1,2018-2019,4,11,Strasbourg,strasbourg alsace,49,11,16,11,58,48,13,98,0.09702970297029705,-2.3327381311647333,No
Ligue 1,2018-2019,4,12,Nantes,nantes,48,13,9,16,48,48,10,119.5,0.11831683168316832,-2.13438923846374,No
Ligue 1,2018-2019,4,13,Angers,angers sco,46,10,16,12,44,49,16,79.7,0.07891089108910891,-2.539436024039136,No
Ligue 1,2018-2019,4,14,Bordeaux,girondins bordeaux,41,10,11,17,34,42,7,179,0.17722772277227722,-1.7303198039945502,No
Ligue 1,2018-2019,4,15,SC Amiens,amiens,38,9,11,18,31,52,18,70.5,0.06980198019801981,-2.662092900017082,No
Ligue 1,2018-2019,4,16,Toulouse,toulouse,38,8,14,16,35,57,11,113.25,0.11212871287128712,-2.1881078454721616,No
Ligue 1,2018-2019,4,17,AS Monaco,as monaco,36,8,12,18,38,57,3,385.83,0.382009900990099,-0.9623087518892,No
Ligue 1,2018-2019,4,18,Dijon FCO,dijon fco,34,9,7,22,31,60,20,65.8,0.06514851485148515,-2.7310857715040338,No
Ligue 1,2018-2019,4,19,Caen,sm caen,33,7,12,19,29,54,19,67.55,0.06688118811881189,-2.7048375454290974,No
Ligue 1,2018-2019,4,20,Guingamp,ea guingamp,27,5,12,21,28,68,17,70.65,0.06995049504950496,-2.6599675007047687,No
Ligue 1,2019-2020,5,1,Paris Saint-Germain,paris saint-germain,68,22,2,3,75,24,1,874.15,1,0,Yes
Ligue 1,2019-2020,5,2,Marseille,olympique marseille,56,16,8,4,41,29,5,216.15,0.24726877538179948,-1.3972793745300172,No
Ligue 1,2019-2020,5,3,Stade Rennais,stade rennais,50,15,5,8,38,24,7,171.88,0.1966252931419093,-1.6264554267368634,No
Ligue 1,2019-2020,5,4,Lille,losc lille,49,15,4,9,35,27,4,247.78,0.2834524967110908,-1.2607107299560651,No
Ligue 1,2019-2020,5,5,Nice,ogc nice,41,11,8,9,41,38,6,173.45,0.1984213235714694,-1.6173626122278992,No
Ligue 1,2019-2020,5,6,Stade de Reims,stade reims,41,10,11,7,26,21,13,81.68,0.09343934107418636,-2.370442811787248,No
Ligue 1,2019-2020,5,7,Lyon,olympique lyon,40,11,7,10,42,27,2,384.55,0.4399130583995882,-0.821178166140595,No
Ligue 1,2019-2020,5,8,Montpellier,montpellier hsc,40,11,7,10,35,34,13,81.68,0.09343934107418636,-2.370442811787248,No
Ligue 1,2019-2020,5,9,AS Monaco,as monaco,40,11,7,10,44,44,3,331.03,0.3786878682148373,-0.9710429799325604,No
Ligue 1,2019-2020,5,10,Strasbourg,strasbourg alsace,38,11,5,11,32,32,11,91.13,0.10424984270434136,-2.2609649271356225,No
Ligue 1,2019-2020,5,11,Angers,angers sco,39,11,6,11,28,33,12,89.48,0.10236229480066351,-2.279236849021729,No
Ligue 1,2019-2020,5,12,Bordeaux,girondins bordeaux,37,9,10,9,40,34,8,125.35,0.14339644225819367,-1.9421421610393552,No
Ligue 1,2019-2020,5,13,Nantes,nantes,37,11,4,13,28,31,9,106.15,0.12143224846994224,-2.1083987974943925,No
Ligue 1,2019-2020,5,14,Brest,stade brestois 29,34,8,10,10,34,37,20,47.78,0.0546588114168049,-2.9066448437459944,No
Ligue 1,2019-2020,5,15,Metz,metz,34,8,10,10,27,35,17,54.1,0.06188869187210433,-2.782417799791222,No
Ligue 1,2019-2020,5,16,Dijon FCO,dijon fco,30,7,9,12,27,37,18,50.23,0.05746153406165989,-2.8566395278817045,No
Ligue 1,2019-2020,5,17,Saint-Étienne,as saint-etienne,30,8,6,14,29,45,10,104.83,0.11992221014699994,-2.120911995179177,No
Ligue 1,2019-2020,5,18,Nimes,nmes olympique,27,7,6,15,29,44,19,49.65,0.05679803237430646,-2.8682535951524764,No
Ligue 1,2019-2020,5,19,SC Amiens,amiens,23,4,11,13,31,50,16,61.93,0.07084596465137562,-2.6472472706936885,No
Ligue 1,2019-2020,5,20,Toulouse,toulouse,13,3,4,21,22,58,15,71.88,0.08222845049476635,-2.4982539237282997,No
Ligue 1,2020-2021,6,1,Lille,losc lille,83,24,11,3,64,23,4,323.2,0.4014906832298136,-0.9125709507716232,Yes
Ligue 1,2020-2021,6,2,Paris Saint-Germain,paris saint-germain,82,26,4,8,86,28,1,805,1,0,No
Ligue 1,2020-2021,6,3,AS Monaco,as monaco,78,24,6,8,76,42,3,370.35,0.4600621118012423,-0.776393772959265,No
Ligue 1,2020-2021,6,4,Lyon,olympique lyon,76,22,10,6,81,43,2,431.35,0.5358385093167702,-0.6239224518959755,No
Ligue 1,2020-2021,6,5,Marseille,olympique marseille,60,16,12,10,54,47,6,247.95,0.30801242236024845,-1.1776151644834203,No
Ligue 1,2020-2021,6,6,Stade Rennais,stade rennais,58,16,10,12,52,40,5,297.5,0.3695652173913043,-0.995428052432879,No
Ligue 1,2020-2021,6,7,Lens,lens,57,15,12,11,55,54,14,104.3,0.12956521739130433,-2.043570915411837,No
Ligue 1,2020-2021,6,8,Montpellier,montpellier hsc,54,14,12,12,60,62,9,113.85,0.14142857142857143,-1.9559604849088148,No
Ligue 1,2020-2021,6,9,Nice,ogc nice,52,15,7,16,50,53,7,236.1,0.2932919254658385,-1.2265868333270962,No
Ligue 1,2020-2021,6,10,Metz,metz,47,12,11,15,44,48,15,103.5,0.12857142857142856,-2.05127066471314,No
Ligue 1,2020-2021,6,11,Saint-Étienne,as saint-etienne,46,12,10,16,42,54,8,154.5,0.1919254658385093,-1.6506481810807632,No
Ligue 1,2020-2021,6,12,Bordeaux,girondins bordeaux,45,13,6,19,42,56,12,105.7,0.13130434782608696,-2.0302373845423713,No
Ligue 1,2020-2021,6,13,Angers,angers sco,44,12,8,18,40,58,10,111.65,0.13869565217391305,-1.9754732991323964,No
Ligue 1,2020-2021,6,14,Stade de Reims,stade reims,42,9,15,14,42,50,13,105.18,0.1306583850931677,-2.035169109257365,No
Ligue 1,2020-2021,6,15,Strasbourg,strasbourg alsace,42,11,9,18,49,58,11,109.65,0.13621118012422362,-1.9935488025546664,No
Ligue 1,2020-2021,6,16,Lorient,lorient,42,11,9,18,50,68,18,72.88,0.09053416149068322,-2.4020280244668606,No
Ligue 1,2020-2021,6,17,Brest,stade brestois 29,41,11,8,19,50,66,16,103.23,0.1282360248447205,-2.053882768941065,No
Ligue 1,2020-2021,6,18,Nantes,nantes,40,9,13,16,47,55,17,94.75,0.11770186335403726,-2.1396004334560277,No
Ligue 1,2020-2021,6,19,Nimes,nmes olympique,35,9,8,21,40,71,20,60.4,0.07503105590062112,-2.589853172477794,No
Ligue 1,2020-2021,6,20,Dijon FCO,dijon fco,21,4,9,25,25,73,19,65.63,0.081527950310559,-2.5068093689329323,No
Ligue 1,2021-2022,7,1,Paris Saint-Germain,paris saint-germain,86,26,8,4,90,36,1,875.15,1,0,Yes
Ligue 1,2021-2022,7,2,Marseille,olympique marseille,71,21,8,9,63,38,6,284.7,0.3253156601725418,-1.1229593059528526,No
Ligue 1,2021-2022,7,3,AS Monaco,as monaco,69,20,9,9,65,40,3,396,0.4524938581957379,-0.792981088982364,No
Ligue 1,2021-2022,7,4,Stade Rennais,stade rennais,66,20,6,12,82,40,5,305.35,0.34891161515168834,-1.0529366405677003,No
Ligue 1,2021-2022,7,5,Nice,ogc nice,66,20,7,11,52,36,7,266.05,0.3040050277095355,-1.1907110391944662,No
Ligue 1,2021-2022,7,6,Strasbourg,strasbourg alsace,63,17,12,9,60,43,11,120.05,0.13717648403130892,-1.9864869775695824,No
Ligue 1,2021-2022,7,7,Lens,lens,62,17,11,10,62,48,8,154.05,0.1760269668056905,-1.7371180751941675,No
Ligue 1,2021-2022,7,8,Lyon,olympique lyon,61,17,11,10,66,51,2,397.7,0.45443638233445693,-0.7886973480231996,No
Ligue 1,2021-2022,7,9,Nantes,nantes,55,15,10,13,55,48,13,112.65,0.1287207907215906,-2.050109633358591,No
Ligue 1,2021-2022,7,10,Lille,losc lille,55,14,13,11,48,48,4,306.88,0.35065988687653543,-1.0479385085417712,No
Ligue 1,2021-2022,7,11,Brest,stade brestois 29,48,13,9,16,49,57,15,103.15,0.11786550876992516,-2.1382110607195837,No
Ligue 1,2021-2022,7,12,Stade de Reims,stade reims,46,11,13,14,43,44,9,149.4,0.17071359195566477,-1.7677680275381276,No
Ligue 1,2021-2022,7,13,Montpellier,montpellier hsc,43,12,7,19,49,61,10,144.6,0.16522881791692853,-1.8004239905121802,No
Ligue 1,2021-2022,7,14,Angers,angers sco,41,10,11,17,44,55,17,89.5,0.10226818259726904,-2.280156674956035,No
Ligue 1,2021-2022,7,15,Troyes,estac troyes,38,9,11,18,37,53,18,73.2,0.08364280409072732,-2.481199879269578,No
Ligue 1,2021-2022,7,16,Lorient,lorient,36,8,12,18,35,63,19,61.3,0.07004513511969376,-2.6586154572946787,No
Ligue 1,2021-2022,7,17,Clermont Foot,clermont foot 63,36,9,9,20,38,69,20,55.1,0.0629606353196595,-2.7652455840779755,No
Ligue 1,2021-2022,7,18,Saint-Étienne,as saint-etienne,32,7,11,20,42,77,14,105.65,0.12072216191510028,-2.114263556174779,No
Ligue 1,2021-2022,7,19,Metz,metz,31,6,13,19,35,69,16,91.05,0.1040393075472776,-2.2629864940632274,No
Ligue 1,2021-2022,7,20,Bordeaux,girondins bordeaux,31,6,13,19,52,91,12,116.85,0.13351996800548477,-2.0135042392519775,No
Ligue 1,2022-2023,8,1,Paris Saint-Germain,paris saint-germain,85,27,4,7,89,40,1,891.1,1,0,Yes
Ligue 1,2022-2023,8,2,Lens,lens,84,25,9,4,68,29,8,238.15,0.26725395578498484,-1.3195559273718047,No
Ligue 1,2022-2023,8,3,Marseille,olympique marseille,73,22,7,9,67,40,5,331.55,0.3720682302771855,-0.9886780268037976,No
Ligue 1,2022-2023,8,4,Stade Rennais,stade rennais,68,21,5,12,69,39,2,387.75,0.4351363483335204,-0.8320958525620259,No
Ligue 1,2022-2023,8,5,Lille,losc lille,67,19,10,9,65,44,7,247.95,0.2782515991471215,-1.279229541683531,No
Ligue 1,2022-2023,8,6,AS Monaco,as monaco,65,19,8,11,70,58,3,368.3,0.4133093928851981,-0.8835588311676545,No
Ligue 1,2022-2023,8,7,Lyon,olympique lyon,62,18,8,12,65,47,4,350.95,0.39383907530019074,-0.9318128914422438,No
Ligue 1,2022-2023,8,8,Clermont Foot,clermont foot 63,59,17,8,13,45,49,19,48,0.05386600830434295,-2.9212556437107833,No
Ligue 1,2022-2023,8,9,Nice,ogc nice,58,15,13,10,48,37,6,310.8,0.3487824037706206,-1.0533070361251815,No
Ligue 1,2022-2023,8,10,Lorient,lorient,55,15,10,13,52,53,9,175.45,0.19689148243743687,-1.62510255258945,No
Ligue 1,2022-2023,8,11,Stade de Reims,stade reims,51,12,15,11,45,45,10,159.05,0.17848726293345304,-1.723238036423521,No
Ligue 1,2022-2023,8,12,Montpellier,montpellier hsc,50,15,5,18,65,62,11,142.9,0.1603635955560543,-1.8303115696828525,No
Ligue 1,2022-2023,8,13,Toulouse,toulouse,48,13,9,16,51,57,14,104.8,0.1176074514644821,-2.1404028827317325,No
Ligue 1,2022-2023,8,14,Brest,stade brestois 29,44,11,11,16,44,54,15,76.65,0.08601728201099765,-2.453207049300851,No
Ligue 1,2022-2023,8,15,Strasbourg,strasbourg alsace,40,9,13,16,51,59,12,123.55,0.1386488609583661,-1.975810722184055,No
Ligue 1,2022-2023,8,16,Nantes,nantes,36,7,15,16,37,55,13,119.28,0.13385703063629223,-2.010982984162191,No
Ligue 1,2022-2023,8,17,AJ Auxerre,aj auxerre,35,8,11,19,35,63,18,54.8,0.06149702614745819,-2.7887664606647045,No
Ligue 1,2022-2023,8,18,AC Ajaccio,ajaccio,26,7,5,26,23,74,20,27,0.03029962967119291,-3.496619788614345,No
Ligue 1,2022-2023,8,19,Troyes,estac troyes,24,4,12,22,45,81,16,76.3,0.08562450903377847,-2.457783716328263,No
Ligue 1,2022-2023,8,20,Angers,angers sco,18,4,6,28,33,81,17,71.8,0.08057457075524632,-2.518572178564496,No
Ligue 1,2023-2024,9,1,Paris Saint-Germain,paris saint-germain,76,22,10,2,81,33,1,1020,1,0,Yes
Ligue 1,2023-2024,9,2,AS Monaco,as monaco,67,20,7,7,68,42,2,398.55,0.390735294117647,-0.9397249454043846,No
Ligue 1,2023-2024,9,3,Brest,stade brestois 29,61,17,10,7,53,34,15,115.15,0.1128921568627451,-2.1813222800116225,No
Ligue 1,2023-2024,9,4,Lille,losc lille,59,16,11,7,52,34,4,328.9,0.32245098039215686,-1.1318041530833054,No
Ligue 1,2023-2024,9,5,Nice,ogc nice,55,15,10,9,40,29,7,268.78,0.2635098039215686,-1.3336647051593988,No
Ligue 1,2023-2024,9,6,Lyon,olympique lyon,53,16,5,13,49,55,6,305.95,0.29995098039215684,-1.2041362163697673,No
Ligue 1,2023-2024,9,7,Lens,lens,51,14,9,11,45,37,8,205.6,0.2015686274509804,-1.6016253726973066,No
Ligue 1,2023-2024,9,8,Marseille,olympique marseille,50,13,11,10,52,41,5,311.4,0.3052941176470588,-1.186479646878419,No
Ligue 1,2023-2024,9,9,Stade de Reims,stade reims,47,13,8,13,42,47,12,134.55,0.13191176470588237,-2.025622029105402,No
Ligue 1,2023-2024,9,10,Stade Rennais,stade rennais,46,12,10,12,53,46,3,375.35,0.3679901960784314,-0.9996989822593052,No
Ligue 1,2023-2024,9,11,Toulouse,toulouse,43,11,10,13,42,46,11,145.2,0.14235294117647057,-1.9494458038876212,No
Ligue 1,2023-2024,9,12,Montpellier,montpellier hsc,41,10,12,12,43,48,10,145.58,0.14272549019607844,-1.946832142588205,No
Ligue 1,2023-2024,9,13,Strasbourg,strasbourg alsace,39,10,9,15,38,50,9,157.7,0.1546078431372549,-1.866863412309324,No
Ligue 1,2023-2024,9,14,Nantes,nantes,33,9,6,19,30,55,14,125.9,0.12343137254901962,-2.0920699652280152,No
Ligue 1,2023-2024,9,15,Le Havre AC,le havre,32,7,11,16,34,45,16,72.5,0.07107843137254902,-2.643971344417688,No
Ligue 1,2023-2024,9,16,Metz,metz,29,8,5,21,35,58,17,65.4,0.06411764705882353,-2.7470356478151636,No
Ligue 1,2023-2024,9,17,Lorient,lorient,29,7,8,19,43,66,13,131.85,0.12926470588235295,-2.045892993479021,No
Ligue 1,2023-2024,9,18,Clermont Foot,clermont foot 63,25,5,10,19,26,60,18,61.35,0.06014705882352941,-2.810962735121396,No
Ligue 1,2024-2025,10,1,Paris Saint-Germain,paris saint-germain,84,26,6,2,92,35,1,1140,1,0,Yes
Ligue 1,2024-2025,10,2,Marseille,olympique marseille,65,20,5,9,74,47,3,358,0.3140350877192982,-1.158250554987841,No
Ligue 1,2024-2025,10,3,AS Monaco,as monaco,61,18,7,9,63,41,2,411.15,0.36065789473684207,-1.0198254299716367,No
Ligue 1,2024-2025,10,4,Nice,ogc nice,60,17,9,8,66,41,8,227.05,0.1991666666666667,-1.613613283844581,No
Ligue 1,2024-2025,10,5,Lille,losc lille,60,17,9,8,52,36,4,336.55,0.29521929824561405,-1.220036814931819,No
Ligue 1,2024-2025,10,6,Lyon,olympique lyon,57,17,6,11,65,46,5,309.85,0.2717982456140351,-1.3026952319804246,No
Ligue 1,2024-2025,10,7,Strasbourg,strasbourg alsace,57,16,9,9,56,44,6,307.85,0.2700438596491228,-1.309170890031322,No
Ligue 1,2024-2025,10,8,Lens,lens,52,15,7,12,42,39,9,221.45,0.19425438596491224,-1.638586711019334,No
Ligue 1,2024-2025,10,9,Brest,stade brestois 29,50,15,5,14,52,59,13,110.65,0.09706140350877192,-2.3324114748914826,No
Ligue 1,2024-2025,10,10,Toulouse,toulouse,42,11,9,14,44,43,11,121.6,0.10666666666666666,-2.2380465718564744,No
Ligue 1,2024-2025,10,11,AJ Auxerre,aj auxerre,42,11,9,14,48,51,14,86.9,0.0762280701754386,-2.574025509117195,No
Ligue 1,2024-2025,10,12,Stade Rennais,stade rennais,41,13,2,19,51,50,7,294.7,0.2585087719298246,-1.352825651644892,No
Ligue 1,2024-2025,10,13,Nantes,nantes,36,8,12,14,39,52,12,114.65,0.10057017543859648,-2.2968995320846277,No
Ligue 1,2024-2025,10,14,Angers,angers sco,36,10,6,18,32,53,18,51.65,0.04530701754385965,-3.0942933458228934,No
Ligue 1,2024-2025,10,15,Le Havre AC,le havre,34,10,4,20,40,71,16,70.55,0.0618859649122807,-2.782461863089718,No
Ligue 1,2024-2025,10,16,Stade de Reims,stade reims,33,8,9,17,33,47,10,152.5,0.1337719298245614,-2.0116189453410747,No
Ligue 1,2024-2025,10,17,Saint-Étienne,as saint-etienne,30,8,6,20,39,77,15,81.6,0.07157894736842105,-2.6369542794184797,No
Ligue 1,2024-2025,10,18,Montpellier,montpellier hsc,16,4,4,26,23,79,17,65.85,0.05776315789473683,-2.8514041131992514,No
Premier League,2015-2016,1,1,Leicester City,leicester city,81,23,12,3,68,36,11,161.1,0.29105691056910565,-1.234236461965763,Yes
Premier League,2015-2016,1,2,Arsenal,arsenal,71,20,11,7,65,36,3,457.85,0.8271906052393858,-0.18972013259495032,No
Premier League,2015-2016,1,3,Tottenham Hotspur,tottenham hotspur,70,19,13,6,69,35,6,371.85,0.6718157181571817,-0.39777120499938223,No
Premier League,2015-2016,1,4,Manchester City,manchester city,66,19,9,10,71,41,2,499.35,0.9021680216802168,-0.10295449945954792,No
Premier League,2015-2016,1,5,Manchester United,manchester united,66,19,9,10,49,35,4,439.85,0.7946702800361337,-0.229827992450008,No
Premier League,2015-2016,1,6,Southampton,southampton,63,18,9,11,59,41,8,225.5,0.4074074074074074,-0.8979415932059586,No
Premier League,2015-2016,1,7,West Ham United,west ham united,62,16,14,8,65,51,9,201.33,0.363739837398374,-1.011316399310434,No
Premier League,2015-2016,1,8,Liverpool,liverpool,60,16,12,10,63,50,5,375.25,0.6779584462511292,-0.38866928163512016,No
Premier League,2015-2016,1,9,Stoke City,stoke city,51,14,9,15,41,55,12,147,0.26558265582655827,-1.3258291653699552,No
Premier League,2015-2016,1,10,Chelsea,chelsea,50,12,14,12,59,53,1,553.5,1,0,No
Premier League,2015-2016,1,11,Everton,everton,47,11,14,13,59,55,7,249.85,0.4514001806684733,-0.7954010143584777,No
Premier League,2015-2016,1,12,Swansea City,swansea city,47,12,11,15,42,52,13,145.8,0.2634146341463415,-1.3340259325741337,No
Premier League,2015-2016,1,13,Watford,watford,45,12,9,17,40,50,14,137,0.24751580849141824,-1.3962808263205666,No
Premier League,2015-2016,1,14,West Bromwich Albion,west bromwich albion,43,10,13,15,34,48,18,113.1,0.2043360433604336,-1.587989369026617,No
Premier League,2015-2016,1,15,Crystal Palace,crystal palace,42,11,9,18,39,51,15,135.7,0.24516711833785,-1.4058151853078682,No
Premier League,2015-2016,1,16,AFC Bournemouth,bournemouth,42,11,9,18,45,67,20,99.9,0.1804878048780488,-1.7120920664941837,No
Premier League,2015-2016,1,17,Sunderland,sunderland,39,9,12,17,48,62,19,111.25,0.2009936766034327,-1.604481831102342,No
Premier League,2015-2016,1,18,Newcastle United,newcastle united,37,9,10,19,44,65,10,198,0.35772357723577236,-1.0279947214541565,No
Premier League,2015-2016,1,19,Norwich City,norwich city,34,9,7,22,39,67,17,116.9,0.2112014453477868,-1.554942883670669,No
Premier League,2015-2016,1,20,Aston Villa,aston villa,17,3,8,27,27,76,16,117.95,0.21309846431797652,-1.5460009462950075,No
Premier League,2016-2017,2,1,Chelsea,chelsea,93,30,3,5,85,33,1,686.7,1,0,Yes
Premier League,2016-2017,2,2,Tottenham Hotspur,tottenham hotspur,86,26,8,4,86,26,3,543.65,0.791684869666521,-0.23359185818287231,No
Premier League,2016-2017,2,3,Manchester City,manchester city,78,23,9,6,80,39,2,576.5,0.8395223532838211,-0.1749221759175171,No
Premier League,2016-2017,2,4,Liverpool,liverpool,76,22,10,6,78,42,6,425.65,0.6198485510412115,-0.4782801032965648,No
Premier League,2016-2017,2,5,Arsenal,arsenal,75,23,6,9,77,44,4,542,0.7892820736857433,-0.2366315141869846,No
Premier League,2016-2017,2,6,Manchester United,manchester united,69,18,15,5,54,29,5,531.45,0.7739187418086501,-0.25628839564704003,No
Premier League,2016-2017,2,7,Everton,everton,61,17,10,11,62,44,7,311.25,0.4532546963739624,-0.7913010678477135,No
Premier League,2016-2017,2,8,Southampton,southampton,46,12,10,16,41,48,9,263.75,0.3840832969273336,-0.9568958308363544,No
Premier League,2016-2017,2,9,AFC Bournemouth,bournemouth,46,12,10,16,55,67,17,131.6,0.1916411824668705,-1.652130496735414,No
Premier League,2016-2017,2,10,West Bromwich Albion,west bromwich albion,45,12,9,17,43,51,19,123.2,0.17940876656472987,-1.7180884645272112,No
Premier League,2016-2017,2,11,West Ham United,west ham united,45,12,9,17,47,64,8,273.05,0.39762632881898935,-0.922242587028468,No
Premier League,2016-2017,2,12,Leicester City,leicester city,44,12,8,18,48,63,11,218.65,0.318406873452745,-1.144425237767701,No
Premier League,2016-2017,2,13,Stoke City,stoke city,44,11,11,16,41,56,12,186,0.27086063783311487,-1.3061508419134296,No
