League,Season,Season_Index,League_Position,Team,Team_clean,Points,W,D,L,GF,GA,Financial_Rank,Market_Value_M_EUR,Normalized_Value,Log_Normalized_Value,Champion
Bundesliga,2020-2021,6,17,Werder Bremen,werder bremen,31,7,10,17,36,57,15,111.98,0.1304778439346096,-2.036551844912206,No
Bundesliga,2020-2021,6,18,Schalke 04,schalke 04,16,3,7,24,25,86,13,123.05,0.143376484159258,-1.9422813519958888,No
Bundesliga,2021-2022,7,1,Bayern Munich,bayern munich,77,24,5,5,97,37,1,790.33,1,0,Yes
Bundesliga,2021-2022,7,2,Borussia Dortmund,borussia dortmund,69,22,3,9,85,52,2,558.98,0.7072741766097705,-0.3463368854189776,No
Bundesliga,2021-2022,7,3,Bayer Leverkusen,bayer 04 leverkusen,64,19,7,8,80,47,4,455.05,0.5757721458125087,-0.5520432767353448,No
Bundesliga,2021-2022,7,4,RB Leipzig,rb leipzig,58,17,7,10,72,37,3,498.95,0.6313185631318563,-0.4599446894283879,No
Bundesliga,2021-2022,7,5,1. FC Union Berlin,1fc union berlin,57,16,9,9,50,44,13,115.9,0.1466476029000544,-1.919722829413003,No
Bundesliga,2021-2022,7,6,SC Freiburg,freiburg,55,15,10,9,58,46,9,176.35,0.2231346399605228,-1.4999799230766486,No
Bundesliga,2021-2022,7,7,FC Cologne,1fc koln,52,14,10,10,52,49,14,99.28,0.12561841256184125,-2.0745064388623575,No
Bundesliga,2021-2022,7,8,Mainz,1fsv mainz 05,46,13,7,14,50,45,12,131.03,0.1657915048144446,-1.7970242751422154,No
Bundesliga,2021-2022,7,9,TSG Hoffenheim,tsg 1899 hoffenheim,46,13,7,14,58,60,8,211.43,0.26752116204623383,-1.3185566053219322,No
Bundesliga,2021-2022,7,10,Borussia Mönchengladbach,borussia monchengladbach,45,12,9,13,54,61,6,236.8,0.29962167702099124,-1.2052346767488589,No
Bundesliga,2021-2022,7,11,Eintracht Frankfurt,eintracht frankfurt,42,10,12,12,45,49,7,228.75,0.2894360583553705,-1.2398208756030789,No
Bundesliga,2021-2022,7,12,VfL Wolfsburg,vfl wolfsburg,42,12,6,16,43,54,5,269.3,0.3407437399567269,-1.0766245799411562,No
Bundesliga,2021-2022,7,13,VfL Bochum,vfl bochum,42,12,6,16,38,52,17,52.25,0.06611162425822124,-2.7164106889137893,No
Bundesliga,2021-2022,7,14,FC Augsburg,augsburg,38,10,8,16,39,56,15,95.3,0.12058254147001884,-2.115420769098553,No
Bundesliga,2021-2022,7,15,VfB Stuttgart,stuttgart,33,7,12,15,41,59,10,174.23,0.22045221616286864,-1.5120743143238955,No
Bundesliga,2021-2022,7,16,Hertha Berlin,hertha bsc,33,9,6,19,37,71,11,155.78,0.19710753735781256,-1.624005824266907,No
Bundesliga,2021-2022,7,17,Arminia Bielefeld,arminia bielefeld,28,5,13,16,27,53,16,65.85,0.08331962597902141,-2.4850711515694197,No
Bundesliga,2021-2022,7,18,SpVgg Greuther Fürth,spvgg greuther furth,18,3,9,22,28,82,18,36.95,0.04675262232232106,-3.0628849323644984,No
Bundesliga,2022-2023,8,1,Bayern Munich,bayern munich,71,21,8,5,92,38,1,948.95,1,0,Yes
Bundesliga,2022-2023,8,2,Borussia Dortmund,borussia dortmund,71,22,5,7,83,44,2,567.55,0.5980820907318615,-0.5140272589815804,No
Bundesliga,2022-2023,8,3,RB Leipzig,rb leipzig,66,20,6,8,64,41,3,486.4,0.5125665208915117,-0.6683247795309715,No
Bundesliga,2022-2023,8,4,1. FC Union Berlin,1fc union berlin,62,18,8,8,51,38,10,157.95,0.16644712577058854,-1.7930775829348344,No
Bundesliga,2022-2023,8,5,SC Freiburg,freiburg,59,17,8,9,51,44,8,200.95,0.2117603667211128,-1.5522999892877187,No
Bundesliga,2022-2023,8,6,Bayer Leverkusen,bayer 04 leverkusen,50,14,8,12,57,49,4,452.5,0.47684282628167973,-0.7405683470429479,No
Bundesliga,2022-2023,8,7,Eintracht Frankfurt,eintracht frankfurt,50,13,11,10,58,52,5,324.55,0.3420095895463407,-1.072916502703451,No
Bundesliga,2022-2023,8,8,VfL Wolfsburg,vfl wolfsburg,49,13,10,11,57,48,7,238.3,0.2511196585699984,-1.3818257260782325,No
Bundesliga,2022-2023,8,9,Mainz,1fsv mainz 05,46,12,10,12,54,55,12,135.9,0.14321091732968017,-1.9434367890258304,No
Bundesliga,2022-2023,8,10,Borussia Mönchengladbach,borussia monchengladbach,43,11,10,13,52,55,6,241.68,0.25468149006796986,-1.3677415731045122,No
Bundesliga,2022-2023,8,11,FC Cologne,1fc koln,42,10,12,12,49,54,14,115.65,0.12187154223088675,-2.1047877215054807,No
Bundesliga,2022-2023,8,12,TSG Hoffenheim,tsg 1899 hoffenheim,36,10,6,18,48,57,9,178.8,0.18841877865008697,-1.669088247443515,No
Bundesliga,2022-2023,8,13,Werder Bremen,werder bremen,36,10,6,18,51,64,16,89.5,0.09431476895516096,-2.361117484902119,No
Bundesliga,2022-2023,8,14,VfL Bochum,vfl bochum,35,10,5,19,40,72,18,53.7,0.05658886137309658,-2.8719431086681095,No
Bundesliga,2022-2023,8,15,FC Augsburg,augsburg,34,9,7,18,42,63,13,132.23,0.13934348490436796,-1.9708132796141973,No
Bundesliga,2022-2023,8,16,VfB Stuttgart,stuttgart,33,7,12,15,45,57,11,151.05,0.15917593129248117,-1.8377452023502476,No
Bundesliga,2022-2023,8,17,Schalke 04,schalke 04,31,7,10,17,35,71,17,87.78,0.09250223931714,-2.3805224259228406,No
Bundesliga,2022-2023,8,18,Hertha Berlin,hertha bsc,29,7,8,19,42,69,15,94,0.0990568523104484,-2.3120613279129247,No
Bundesliga,2023-2024,9,1,Bayer Leverkusen,bayer 04 leverkusen,90,28,6,0,89,24,2,658.35,0.6821219499559654,-0.38254682487153147,Yes
Bundesliga,2023-2024,9,2,VfB Stuttgart,stuttgart,73,23,4,7,78,39,5,346.63,0.3591462466974045,-1.0240256010313045,No
Bundesliga,2023-2024,9,3,Bayern Munich,bayern munich,72,23,3,8,94,45,1,965.15,1,0,No
Bundesliga,2023-2024,9,4,RB Leipzig,rb leipzig,65,19,8,7,77,39,3,545.4,0.5650935087810185,-0.570764059262396,No
Bundesliga,2023-2024,9,5,Borussia Dortmund,borussia dortmund,63,18,9,7,68,43,4,494.8,0.5126664249080454,-0.6681298891555514,No
Bundesliga,2023-2024,9,6,Eintracht Frankfurt,eintracht frankfurt,47,11,14,9,51,50,6,326.65,0.3384448013262187,-1.083394268387125,No
Bundesliga,2023-2024,9,7,TSG Hoffenheim,tsg 1899 hoffenheim,46,13,7,14,66,66,9,176,0.18235507434077605,-1.7017995346357324,No
Bundesliga,2023-2024,9,8,1. FC Heidenheim 1846,1fc heidenheim 1846,42,10,12,12,50,55,16,66.45,0.06884940164741232,-2.67583374451463,No
Bundesliga,2023-2024,9,9,Werder Bremen,werder bremen,42,11,9,14,48,54,14,134.93,0.1398021033000052,-1.967527404231188,No
