League,Season,Team,Financial_Rank,Points,League_Position,Fitted_Points,Residual_Points,Abs_Residual_Points,Rank_Points_Residual,Residual_Position,Rank_Position_Residual
Serie A,2015-2016,Carpi,17,38,18,35.96924235328262,2.030757646717383,2.030757646717383,813,2.514535909853972,393
Serie A,2023-2024,Lecce,17,38,14,35.96924235328262,2.030757646717383,2.030757646717383,814,-1.4854640901460279,598
Ligue 1,2018-2019,Caen,19,33,19,35.00581441047815,-2.005814410478152,2.005814410478152,815,2.511493007472211,397
Premier League,2018-2019,Everton,7,54,8,56.00327689540669,-2.0032768954066924,2.0032768954066924,816,-0.04028248878790919,947
Serie A,2015-2016,Lazio,7,54,8,56.00327689540669,-2.0032768954066924,2.0032768954066924,817,-0.04028248878790919,949
Ligue 1,2017-2018,Stade Rennais,7,58,5,56.00327689540669,1.9967231045933076,1.9967231045933076,818,-3.040282488787909,326
La Liga,2020-2021,Huesca,17,34,18,35.96924235328262,-1.9692423532826169,1.9692423532826169,819,2.514535909853972,389
Ligue 1,2019-2020,Metz,17,34,15,35.96924235328262,-1.9692423532826169,1.9692423532826169,820,-0.48546409014602787,862
Premier League,2015-2016,Norwich City,17,34,19,35.96924235328262,-1.9692423532826169,1.9692423532826169,821,3.514535909853972,259
Premier League,2023-2024,Brighton & Hove Albion,9,48,11,49.96755067656831,-1.9675506765683082,1.9675506765683082,822,1.1466855790138926,628
Bundesliga,2017-2018,Mainz,15,36,14,37.94712995129385,-1.947129951293853,1.947129951293853,823,-0.3204233818009783,878
Bundesliga,2018-2019,SC Freiburg,15,36,13,37.94712995129385,-1.947129951293853,1.947129951293853,824,-1.3204233818009783,609
Bundesliga,2019-2020,FC Cologne,15,36,14,37.94712995129385,-1.947129951293853,1.947129951293853,825,-0.3204233818009783,879
Serie A,2021-2022,Sampdoria,15,36,15,37.94712995129385,-1.947129951293853,1.947129951293853,826,0.6795766181990217,799
Bundesliga,2019-2020,Borussia Mönchengladbach,5,65,4,63.05346276945188,1.9465372305481168,1.9465372305481168,827,-2.065252750626424,462
Ligue 1,2023-2024,Toulouse,11,43,11,44.9462841129367,-1.9462841129367021,1.9462841129367021,828,-0.504348547221019,849
Bundesliga,2023-2024,FC Augsburg,13,39,11,40.93947720451189,-1.9394772045118884,1.9394772045118884,829,-1.9933848674926402,497
La Liga,2018-2019,Huesca,20,33,19,34.90452280977847,-1.90452280977847,1.90452280977847,830,2.070720733517561,456
La Liga,2023-2024,Cádiz,20,33,18,34.90452280977847,-1.90452280977847,1.90452280977847,831,1.070720733517561,647
Ligue 1,2017-2018,Troyes,20,33,19,34.90452280977847,-1.90452280977847,1.90452280977847,832,2.070720733517561,458
Serie A,2020-2021,Benevento,20,33,18,34.90452280977847,-1.90452280977847,1.90452280977847,833,1.070720733517561,657
La Liga,2019-2020,Athletic Club,8,51,11,52.858606329086655,-1.8586063290866548,1.8586063290866548,834,2.0329518193675806,472
Ligue 1,2023-2024,Lens,8,51,7,52.858606329086655,-1.8586063290866548,1.8586063290866548,835,-1.9670481806324194,515
Serie A,2023-2024,Frosinone,16,35,18,36.831378695387386,-1.8313786953873858,1.8313786953873858,836,3.0768065382810867,308
Premier League,2020-2021,Brighton & Hove Albion,12,41,16,42.81607320182344,-1.8160732018234427,1.8160732018234427,837,3.7308835668977594,242
Bundesliga,2016-2017,Bayern Munich,1,82,1,80.1972134831626,1.8027865168374007,1.8027865168374007,838,-0.6291998564135926,806
Bundesliga,2019-2020,Bayern Munich,1,82,1,80.1972134831626,1.8027865168374007,1.8027865168374007,839,-0.6291998564135926,809
Bundesliga,2024-2025,Bayern Munich,1,82,1,80.1972134831626,1.8027865168374007,1.8027865168374007,840,-0.6291998564135926,813
La Liga,2019-2020,Barcelona,1,82,2,80.1972134831626,1.8027865168374007,1.8027865168374007,841,0.37080014358640745,864
Ligue 1,2020-2021,Paris Saint-Germain,1,82,2,80.1972134831626,1.8027865168374007,1.8027865168374007,842,0.37080014358640745,868
Bundesliga,2017-2018,FC Augsburg,14,41,12,39.31649612100202,1.683503878997982,1.683503878997982,843,-1.6771538503922194,575
Premier League,2016-2017,Swansea City,14,41,15,39.31649612100202,1.683503878997982,1.683503878997982,844,1.3228461496077806,605
Serie A,2016-2017,Bologna,14,41,15,39.31649612100202,1.683503878997982,1.683503878997982,845,1.3228461496077806,606
Serie A,2018-2019,Cagliari,14,41,15,39.31649612100202,1.683503878997982,1.683503878997982,846,1.3228461496077806,608
Serie A,2020-2021,Bologna,14,41,12,39.31649612100202,1.683503878997982,1.683503878997982,847,-1.6771538503922194,579
Bundesliga,2019-2020,VfL Wolfsburg,10,49,7,47.33010993785166,1.6698900621483403,1.6698900621483403,848,-3.6990812098489734,245
Premier League,2020-2021,Arsenal,6,61,8,59.40156237552844,1.5984376244715577,1.5984376244715577,849,0.9269826545474231,751
La Liga,2020-2021,Villarreal,6,58,7,59.40156237552844,-1.4015623755284423,1.4015623755284423,850,-0.07301734545257688,916
Ligue 1,2022-2023,Nice,6,58,9,59.40156237552844,-1.4015623755284423,1.4015623755284423,851,1.9269826545474231,540
Ligue 1,2016-2017,Bastia,18,34,20,35.360720924979546,-1.360720924979546,1.360720924979546,852,3.9927647329176814,218
Ligue 1,2015-2016,Lorient,10,46,15,47.33010993785166,-1.3301099378516597,1.3301099378516597,853,4.300918790151027,181
Serie A,2016-2017,Sassuolo,10,46,12,47.33010993785166,-1.3301099378516597,1.3301099378516597,854,1.3009187901510266,614
Bundesliga,2015-2016,Werder Bremen,14,38,13,39.31649612100202,-1.316496121002018,1.316496121002018,855,-0.6771538503922194,800
Bundesliga,2016-2017,Hamburg SV,14,38,14,39.31649612100202,-1.316496121002018,1.316496121002018,856,0.3228461496077806,871
La Liga,2021-2022,Granada,14,38,18,39.31649612100202,-1.316496121002018,1.316496121002018,857,4.322846149607781,168
Premier League,2021-2022,Leeds United,14,38,17,39.31649612100202,-1.316496121002018,1.316496121002018,858,3.3228461496077806,280
Serie A,2023-2024,Hellas Verona,14,38,13,39.31649612100202,-1.316496121002018,1.316496121002018,859,-0.6771538503922194,804
La Liga,2020-2021,Barcelona,1,79,3,80.1972134831626,-1.1972134831625993,1.1972134831625993,860,1.3708001435864074,600
Premier League,2016-2017,Stoke City,12,44,13,42.81607320182344,1.1839267981765573,1.1839267981765573,861,0.7308835668977594,788
Premier League,2017-2018,Newcastle United,12,44,10,42.81607320182344,1.1839267981765573,1.1839267981765573,862,-2.2691164331022406,428
Premier League,2019-2020,Newcastle United,12,44,13,42.81607320182344,1.1839267981765573,1.1839267981765573,863,0.7308835668977594,789
Serie A,2024-2025,Udinese,12,44,12,42.81607320182344,1.1839267981765573,1.1839267981765573,864,-0.26911643310224065,894
Bundesliga,2016-2017,FC Augsburg,16,38,13,36.831378695387386,1.1686213046126142,1.1686213046126142,865,-1.9231934617189133,541
La Liga,2020-2021,Alavés,16,38,16,36.831378695387386,1.1686213046126142,1.1686213046126142,866,1.0768065382810867,632
Ligue 1,2017-2018,Caen,16,38,16,36.831378695387386,1.1686213046126142,1.1686213046126142,867,1.0768065382810867,635
Serie A,2018-2019,Empoli,16,38,18,36.831378695387386,1.1686213046126142,1.1686213046126142,868,3.0768065382810867,307
La Liga,2019-2020,Atlético Madrid,3,70,3,71.11810829870385,-1.118108298703845,1.118108298703845,869,-0.9282252065016512,741
Serie A,2022-2023,AC Milan,3,70,4,71.11810829870385,-1.118108298703845,1.118108298703845,870,0.07177479349834881,927
La Liga,2020-2021,Elche,20,36,17,34.90452280977847,1.09547719022153,1.09547719022153,871,0.07072073351756103,928
Ligue 1,2021-2022,Clermont Foot,20,36,17,34.90452280977847,1.09547719022153,1.09547719022153,872,0.07072073351756103,929
Serie A,2023-2024,Cagliari,20,36,16,34.90452280977847,1.09547719022153,1.09547719022153,873,-0.929279266482439,734
Serie A,2024-2025,Cagliari,20,36,15,34.90452280977847,1.09547719022153,1.09547719022153,874,-1.929279266482439,527
La Liga,2015-2016,Deportivo La Coruña,13,42,15,40.93947720451189,1.0605227954881116,1.0605227954881116,875,2.00661513250736,493
La Liga,2022-2023,Getafe,13,42,15,40.93947720451189,1.0605227954881116,1.0605227954881116,876,2.00661513250736,494
La Liga,2024-2025,Espanyol,13,42,14,40.93947720451189,1.0605227954881116,1.0605227954881116,877,1.0066151325073598,696
Ligue 1,2020-2021,Stade de Reims,13,42,14,40.93947720451189,1.0605227954881116,1.0605227954881116,878,1.0066151325073598,697
Premier League,2024-2025,Wolverhampton Wanderers,13,42,16,40.93947720451189,1.0605227954881116,1.0605227954881116,879,3.00661513250736,338
Serie A,2019-2020,Sampdoria,13,42,15,40.93947720451189,1.0605227954881116,1.0605227954881116,880,2.00661513250736,496
Serie A,2021-2022,Bologna,11,46,13,44.9462841129367,1.0537158870632979,1.0537158870632979,881,1.495651452778981,593
Serie A,2022-2023,Udinese,11,46,12,44.9462841129367,1.0537158870632979,1.0537158870632979,882,0.49565145277898104,857
La Liga,2020-2021,Real Sociedad,5,62,5,63.05346276945188,-1.0534627694518832,1.0534627694518832,883,-1.0652527506264242,659
