League,Season,Team,Financial_Rank,Points,League_Position,Fitted_Points,Residual_Points,Abs_Residual_Points,Rank_Points_Residual,Residual_Position,Rank_Position_Residual
Premier League,2015-2016,Leicester City,11,81,1,44.9462841129367,36.0537158870633,36.0537158870633,1,-10.504348547221019,3
Ligue 1,2019-2020,Lyon,2,40,7,75.53085343403237,-35.530853434032366,35.530853434032366,2,4.201037742796967,185
Ligue 1,2018-2019,AS Monaco,3,36,17,71.11810829870385,-35.118108298703845,35.118108298703845,3,13.07177479349835,1
Ligue 1,2022-2023,Lens,8,84,2,52.858606329086655,31.141393670913345,31.141393670913345,4,-6.967048180632419,38
Ligue 1,2019-2020,AS Monaco,3,40,9,71.11810829870385,-31.118108298703845,31.118108298703845,5,5.071774793498349,114
Premier League,2015-2016,Chelsea,1,50,10,80.1972134831626,-30.1972134831626,30.1972134831626,6,8.370800143586408,14
Bundesliga,2016-2017,Bayer Leverkusen,3,41,12,71.11810829870385,-30.118108298703845,30.118108298703845,7,8.07177479349835,15
Premier League,2022-2023,Chelsea,3,44,12,71.11810829870385,-27.118108298703845,27.118108298703845,8,8.07177479349835,16
Bundesliga,2015-2016,VfL Wolfsburg,3,45,8,71.11810829870385,-26.118108298703845,26.118108298703845,9,4.071774793498349,195
Bundesliga,2016-2017,VfL Wolfsburg,5,37,16,63.05346276945188,-26.053462769451883,26.053462769451883,10,9.934747249373576,4
Serie A,2019-2020,Atalanta,8,78,3,52.858606329086655,25.141393670913345,25.141393670913345,11,-5.967048180632419,71
Ligue 1,2023-2024,Stade Rennais,3,46,10,71.11810829870385,-25.118108298703845,25.118108298703845,12,6.071774793498349,63
Ligue 1,2019-2020,Toulouse,15,13,20,37.94712995129385,-24.947129951293853,24.947129951293853,13,5.679576618199022,85
Bundesliga,2020-2021,Schalke 04,13,16,18,40.93947720451189,-24.93947720451189,24.93947720451189,14,5.00661513250736,120
Ligue 1,2022-2023,Clermont Foot,19,59,8,35.00581441047815,23.994185589521848,23.994185589521848,15,-8.488506992527789,12
Bundesliga,2016-2017,Schalke 04,4,43,10,66.95897807717701,-23.958978077177008,23.958978077177008,16,4.9830112956905515,123
Premier League,2019-2020,Liverpool,2,99,1,75.53085343403237,23.469146565967634,23.469146565967634,17,-1.7989622572030326,564
Premier League,2024-2025,Southampton,18,12,20,35.360720924979546,-23.360720924979546,23.360720924979546,18,3.9927647329176814,222
Ligue 1,2023-2024,Brest,15,61,3,37.94712995129385,23.052870048706147,23.052870048706147,19,-11.320423381800978,2
La Liga,2015-2016,Valencia,4,44,12,66.95897807717701,-22.958978077177008,22.958978077177008,20,6.9830112956905515,37
Premier League,2024-2025,Nottingham Forest,12,65,7,42.81607320182344,22.183926798176557,22.183926798176557,21,-5.269116433102241,106
Premier League,2020-2021,Leeds United,16,59,9,36.831378695387386,22.168621304612614,22.168621304612614,22,-5.923193461718913,77
Premier League,2022-2023,Brentford,16,59,9,36.831378695387386,22.168621304612614,22.168621304612614,23,-5.923193461718913,78
Serie A,2016-2017,Atalanta,9,72,4,49.96755067656831,22.032449323431692,22.032449323431692,24,-5.853314420986107,81
La Liga,2023-2024,Granada,12,21,20,42.81607320182344,-21.816073201823443,21.816073201823443,25,7.730883566897759,22
Premier League,2018-2019,Liverpool,2,97,2,75.53085343403237,21.469146565967634,21.469146565967634,26,-0.7989622572030326,775
Premier League,2024-2025,Tottenham Hotspur,6,38,17,59.40156237552844,-21.401562375528442,21.401562375528442,27,9.926982654547423,5
Bundesliga,2021-2022,VfL Wolfsburg,5,42,12,63.05346276945188,-21.053462769451883,21.053462769451883,28,5.934747249373576,73
Premier League,2024-2025,Manchester United,5,42,15,63.05346276945188,-21.053462769451883,21.053462769451883,29,8.934747249373576,8
La Liga,2019-2020,Granada,19,56,7,35.00581441047815,20.994185589521848,20.994185589521848,30,-9.488506992527789,6
La Liga,2017-2018,Las Palmas,12,22,19,42.81607320182344,-20.816073201823443,20.816073201823443,31,6.730883566897759,43
Bundesliga,2017-2018,Borussia Dortmund,2,55,4,75.53085343403237,-20.530853434032366,20.530853434032366,32,1.2010377427969674,620
Bundesliga,2024-2025,RB Leipzig,3,51,7,71.11810829870385,-20.118108298703845,20.118108298703845,33,3.071774793498349,313
Premier League,2020-2021,West Ham United,11,65,6,44.9462841129367,20.053715887063298,20.053715887063298,34,-5.504348547221019,91
Ligue 1,2024-2025,Montpellier,17,16,18,35.96924235328262,-19.969242353282617,19.969242353282617,35,2.514535909853972,391
Bundesliga,2017-2018,VfL Wolfsburg,8,33,16,52.858606329086655,-19.858606329086655,19.858606329086655,36,7.032951819367581,32
Premier League,2015-2016,Aston Villa,16,17,20,36.831378695387386,-19.831378695387386,19.831378695387386,37,5.076806538281087,109
Premier League,2017-2018,Manchester City,1,100,1,80.1972134831626,19.8027865168374,19.8027865168374,38,-0.6291998564135926,829
Ligue 1,2016-2017,AS Monaco,2,95,1,75.53085343403237,19.469146565967634,19.469146565967634,39,-1.7989622572030326,563
La Liga,2024-2025,Real Valladolid,18,16,20,35.360720924979546,-19.360720924979546,19.360720924979546,40,3.9927647329176814,216
Premier League,2019-2020,Sheffield United,20,54,9,34.90452280977847,19.09547719022153,19.09547719022153,41,-7.929279266482439,20
Premier League,2018-2019,Huddersfield Town,19,16,20,35.00581441047815,-19.005814410478152,19.005814410478152,42,3.511493007472211,264
Premier League,2023-2024,Sheffield United,19,16,20,35.00581441047815,-19.005814410478152,19.005814410478152,43,3.511493007472211,266
Bundesliga,2015-2016,TSG Hoffenheim,7,37,15,56.00327689540669,-19.003276895406692,19.003276895406692,44,6.959717511212091,39
Bundesliga,2023-2024,VfL Wolfsburg,7,37,12,56.00327689540669,-19.003276895406692,19.003276895406692,45,3.959717511212091,234
Ligue 1,2015-2016,Marseille,4,48,13,66.95897807717701,-18.958978077177008,18.958978077177008,46,7.9830112956905515,18
Serie A,2024-2025,Napoli,5,82,1,63.05346276945188,18.946537230548117,18.946537230548117,47,-5.065252750626424,115
Premier League,2019-2020,Burnley,18,54,10,35.360720924979546,18.639279075020454,18.639279075020454,48,-6.007235267082319,68
Serie A,2019-2020,Lazio,6,78,4,59.40156237552844,18.598437624471558,18.598437624471558,49,-3.073017345452577,312
Ligue 1,2019-2020,Nice,6,41,5,59.40156237552844,-18.401562375528442,18.401562375528442,50,-2.073017345452577,441
Bundesliga,2023-2024,SV Darmstadt 98,18,17,18,35.360720924979546,-18.360720924979546,18.360720924979546,51,1.9927647329176814,506
La Liga,2017-2018,Getafe,16,55,8,36.831378695387386,18.168621304612614,18.168621304612614,52,-6.923193461718913,42
Bundesliga,2017-2018,RB Leipzig,3,53,6,71.11810829870385,-18.118108298703845,18.118108298703845,53,2.071774793498349,450
Serie A,2023-2024,Napoli,3,53,10,71.11810829870385,-18.118108298703845,18.118108298703845,54,6.071774793498349,64
Ligue 1,2021-2022,Strasbourg,11,63,6,44.9462841129367,18.053715887063298,18.053715887063298,55,-5.504348547221019,90
La Liga,2016-2017,Espanyol,15,56,8,37.94712995129385,18.052870048706147,18.052870048706147,56,-6.320423381800978,57
Premier League,2024-2025,Fulham,17,54,11,35.96924235328262,18.030757646717383,18.030757646717383,57,-4.485464090146028,166
Serie A,2018-2019,Chievo Verona,19,17,20,35.00581441047815,-18.005814410478152,18.005814410478152,58,3.511493007472211,268
Serie A,2023-2024,Salernitana,19,17,20,35.00581441047815,-18.005814410478152,18.005814410478152,59,3.511493007472211,270
Serie A,2022-2023,Lazio,7,74,2,56.00327689540669,17.996723104593308,17.996723104593308,60,-6.040282488787909,65
Ligue 1,2022-2023,Angers,17,18,20,35.96924235328262,-17.969242353282617,17.969242353282617,61,4.514535909853972,146
Serie A,2016-2017,Pescara,17,18,20,35.96924235328262,-17.969242353282617,17.969242353282617,62,4.514535909853972,147
Bundesliga,2024-2025,TSG Hoffenheim,9,32,15,49.96755067656831,-17.967550676568308,17.967550676568308,63,5.146685579013893,108
Ligue 1,2019-2020,Lille,4,49,4,66.95897807717701,-17.958978077177008,17.958978077177008,64,-1.0169887043094485,684
Serie A,2020-2021,Parma,15,20,20,37.94712995129385,-17.947129951293853,17.947129951293853,65,5.679576618199022,86
La Liga,2023-2024,Girona,5,81,3,63.05346276945188,17.946537230548117,17.946537230548117,66,-3.065252750626424,319
Bundesliga,2020-2021,Hertha Berlin,8,35,14,52.858606329086655,-17.858606329086655,17.858606329086655,67,5.032951819367581,117
La Liga,2019-2020,Espanyol,12,25,20,42.81607320182344,-17.816073201823443,17.816073201823443,68,7.730883566897759,21
Premier League,2018-2019,Manchester City,1,98,1,80.1972134831626,17.8027865168374,17.8027865168374,69,-0.6291998564135926,830
Ligue 1,2020-2021,Lens,14,57,7,39.31649612100202,17.683503878997982,17.683503878997982,70,-6.677153850392219,47
La Liga,2022-2023,Valencia,6,42,16,59.40156237552844,-17.401562375528442,17.401562375528442,71,8.926982654547423,10
Bundesliga,2021-2022,SpVgg Greuther Fürth,18,18,18,35.360720924979546,-17.360720924979546,17.360720924979546,72,1.9927647329176814,505
Ligue 1,2015-2016,Troyes,18,18,20,35.360720924979546,-17.360720924979546,17.360720924979546,73,3.9927647329176814,217
Serie A,2024-2025,Monza,18,18,20,35.360720924979546,-17.360720924979546,17.360720924979546,74,3.9927647329176814,224
Ligue 1,2019-2020,Saint-Étienne,10,30,17,47.33010993785166,-17.33010993785166,17.33010993785166,75,6.300918790151027,59
La Liga,2016-2017,Eibar,16,54,10,36.831378695387386,17.168621304612614,17.168621304612614,76,-4.923193461718913,131
La Liga,2016-2017,Valencia,5,46,12,63.05346276945188,-17.053462769451883,17.053462769451883,77,5.934747249373576,74
La Liga,2024-2025,Real Sociedad,5,46,11,63.05346276945188,-17.053462769451883,17.053462769451883,78,4.934747249373576,129
Ligue 1,2018-2019,Stade de Reims,15,55,8,37.94712995129385,17.052870048706147,17.052870048706147,79,-6.320423381800978,58
Premier League,2024-2025,Liverpool,4,84,1,66.95897807717701,17.041021922822992,17.041021922822992,80,-4.0169887043094485,206
Bundesliga,2019-2020,Schalke 04,7,39,12,56.00327689540669,-17.003276895406692,17.003276895406692,81,3.959717511212091,233
La Liga,2024-2025,Rayo Vallecano,19,52,8,35.00581441047815,16.994185589521848,16.994185589521848,82,-8.488506992527789,11
Premier League,2022-2023,Fulham,19,52,10,35.00581441047815,16.994185589521848,16.994185589521848,83,-6.488506992527789,53
Bundesliga,2015-2016,VfB Stuttgart,9,33,17,49.96755067656831,-16.967550676568308,16.967550676568308,84,7.146685579013893,28
Bundesliga,2018-2019,Schalke 04,9,33,14,49.96755067656831,-16.967550676568308,16.967550676568308,85,4.146685579013893,186
Bundesliga,2022-2023,Bayer Leverkusen,4,50,6,66.95897807717701,-16.958978077177008,16.958978077177008,86,0.9830112956905515,714
La Liga,2015-2016,Atlético Madrid,3,88,3,71.11810829870385,16.881891701296155,16.881891701296155,87,-0.9282252065016512,738
Premier League,2024-2025,Brentford,14,56,10,39.31649612100202,16.683503878997982,16.683503878997982,88,-3.6771538503922194,256
La Liga,2019-2020,Osasuna,18,52,10,35.360720924979546,16.639279075020454,16.639279075020454,89,-6.007235267082319,67
Premier League,2016-2017,Liverpool,6,76,4,59.40156237552844,16.598437624471558,16.598437624471558,90,-3.073017345452577,311
Premier League,2021-2022,Liverpool,2,92,2,75.53085343403237,16.469146565967634,16.469146565967634,91,-0.7989622572030326,776
Bundesliga,2022-2023,Borussia Mönchengladbach,6,43,10,59.40156237552844,-16.401562375528442,16.401562375528442,92,2.926982654547423,364
La Liga,2017-2018,Athletic Club,6,43,16,59.40156237552844,-16.401562375528442,16.401562375528442,93,8.926982654547423,9
Bundesliga,2018-2019,1. FC Nürnberg,18,19,18,35.360720924979546,-16.360720924979546,16.360720924979546,94,1.9927647329176814,503
La Liga,2018-2019,Getafe,12,59,5,42.81607320182344,16.183926798176557,16.183926798176557,95,-7.269116433102241,27
Ligue 1,2018-2019,Montpellier,12,59,6,42.81607320182344,16.183926798176557,16.183926798176557,96,-6.269116433102241,61
Bundesliga,2021-2022,1. FC Union Berlin,13,57,5,40.93947720451189,16.06052279548811,16.06052279548811,97,-7.99338486749264,17
Ligue 1,2015-2016,Caen,15,54,7,37.94712995129385,16.052870048706147,16.052870048706147,98,-7.320423381800978,24
Premier League,2017-2018,Burnley,15,54,7,37.94712995129385,16.052870048706147,16.052870048706147,99,-7.320423381800978,25
Ligue 1,2020-2021,Lille,4,83,1,66.95897807717701,16.041021922822992,16.041021922822992,100,-4.0169887043094485,205
Ligue 1,2018-2019,Saint-Étienne,9,66,4,49.96755067656831,16.032449323431692,16.032449323431692,101,-5.853314420986107,80
La Liga,2016-2017,Granada,17,20,20,35.96924235328262,-15.969242353282617,15.969242353282617,102,4.514535909853972,144
Premier League,2022-2023,Southampton,13,25,20,40.93947720451189,-15.939477204511888,15.939477204511888,103,7.00661513250736,35
Serie A,2022-2023,Sampdoria,20,19,20,34.90452280977847,-15.90452280977847,15.90452280977847,104,3.070720733517561,317
Serie A,2016-2017,AS Roma,3,87,2,71.11810829870385,15.881891701296155,15.881891701296155,105,-1.9282252065016512,536
Ligue 1,2017-2018,Toulouse,8,37,18,52.858606329086655,-15.858606329086655,15.858606329086655,106,9.03295181936758,7
Ligue 1,2019-2020,Bordeaux,8,37,12,52.858606329086655,-15.858606329086655,15.858606329086655,107,3.0329518193675806,332
Ligue 1,2015-2016,Paris Saint-Germain,1,96,1,80.1972134831626,15.8027865168374,15.8027865168374,108,-0.6291998564135926,820
Serie A,2018-2019,Torino,10,63,7,47.33010993785166,15.66989006214834,15.66989006214834,109,-3.6990812098489734,248
La Liga,2017-2018,Eibar,18,51,9,35.360720924979546,15.639279075020454,15.639279075020454,110,-7.007235267082319,33
Serie A,2017-2018,Napoli,2,91,2,75.53085343403237,15.469146565967634,15.469146565967634,111,-0.7989622572030326,779
Bundesliga,2019-2020,SC Paderborn 07,18,20,18,35.360720924979546,-15.360720924979546,15.360720924979546,112,1.9927647329176814,504
Premier League,2023-2024,Nottingham Forest,10,32,17,47.33010993785166,-15.33010993785166,15.33010993785166,113,6.300918790151027,60
Serie A,2020-2021,Sampdoria,16,52,9,36.831378695387386,15.168621304612614,15.168621304612614,114,-5.923193461718913,79
Premier League,2023-2024,Liverpool,4,82,3,66.95897807717701,15.041021922822992,15.041021922822992,115,-2.0169887043094485,480
Serie A,2024-2025,Lazio,9,65,7,49.96755067656831,15.032449323431692,15.032449323431692,116,-2.8533144209861074,371
Serie A,2019-2020,SPAL,19,20,20,35.00581441047815,-15.005814410478152,15.005814410478152,117,3.511493007472211,269
La Liga,2019-2020,Real Betis,7,41,15,56.00327689540669,-15.003276895406692,15.003276895406692,118,6.959717511212091,40
Ligue 1,2018-2019,Bordeaux,7,41,14,56.00327689540669,-15.003276895406692,15.003276895406692,119,5.959717511212091,72
Ligue 1,2024-2025,Stade Rennais,7,41,12,56.00327689540669,-15.003276895406692,15.003276895406692,120,3.959717511212091,236
Serie A,2018-2019,Fiorentina,7,41,16,56.00327689540669,-15.003276895406692,15.003276895406692,121,7.959717511212091,19
Premier League,2022-2023,Newcastle United,7,71,4,56.00327689540669,14.996723104593308,14.996723104593308,122,-4.040282488787909,202
Ligue 1,2015-2016,Bastia,19,50,10,35.00581441047815,14.994185589521848,14.994185589521848,123,-6.488506992527789,51
Bundesliga,2018-2019,Hannover 96,17,21,17,35.96924235328262,-14.969242353282617,14.969242353282617,124,1.5145359098539721,581
La Liga,2023-2024,Almería,17,21,19,35.96924235328262,-14.969242353282617,14.969242353282617,125,3.514535909853972,258
Serie A,2017-2018,Benevento,17,21,20,35.96924235328262,-14.969242353282617,14.969242353282617,126,4.514535909853972,148
Bundesliga,2020-2021,Bayer Leverkusen,4,52,6,66.95897807717701,-14.958978077177008,14.958978077177008,127,0.9830112956905515,713
Serie A,2020-2021,Atalanta,5,78,3,63.05346276945188,14.946537230548117,14.946537230548117,128,-3.065252750626424,323
La Liga,2017-2018,Málaga,20,20,20,34.90452280977847,-14.90452280977847,14.90452280977847,129,3.070720733517561,315
La Liga,2020-2021,Atlético Madrid,3,86,1,71.11810829870385,14.881891701296155,14.881891701296155,130,-2.928225206501651,361
Premier League,2016-2017,Tottenham Hotspur,3,86,2,71.11810829870385,14.881891701296155,14.881891701296155,131,-1.9282252065016512,533
Serie A,2021-2022,AC Milan,3,86,1,71.11810829870385,14.881891701296155,14.881891701296155,132,-2.928225206501651,362
La Liga,2023-2024,Real Madrid,1,95,1,80.1972134831626,14.8027865168374,14.8027865168374,133,-0.6291998564135926,819
Serie A,2017-2018,Juventus,1,95,1,80.1972134831626,14.8027865168374,14.8027865168374,134,-0.6291998564135926,837
Bundesliga,2022-2023,1. FC Union Berlin,10,62,4,47.33010993785166,14.66989006214834,14.66989006214834,135,-6.699081209848973,45
Serie A,2015-2016,Chievo Verona,18,50,9,35.360720924979546,14.639279075020454,14.639279075020454,136,-7.007235267082319,34
Ligue 1,2021-2022,Lyon,2,61,8,75.53085343403237,-14.530853434032366,14.530853434032366,137,5.201037742796967,107
Ligue 1,2024-2025,AS Monaco,2,61,3,75.53085343403237,-14.530853434032366,14.530853434032366,138,0.2010377427969674,900
Bundesliga,2023-2024,Bayer Leverkusen,2,90,1,75.53085343403237,14.469146565967634,14.469146565967634,139,-1.7989622572030326,559
La Liga,2015-2016,Real Madrid,2,90,2,75.53085343403237,14.469146565967634,14.469146565967634,140,-0.7989622572030326,767
La Liga,2016-2017,Barcelona,2,90,2,75.53085343403237,14.469146565967634,14.469146565967634,141,-0.7989622572030326,768
Bundesliga,2021-2022,Borussia Mönchengladbach,6,45,10,59.40156237552844,-14.401562375528442,14.401562375528442,142,2.926982654547423,363
Bundesliga,2021-2022,VfB Stuttgart,10,33,15,47.33010993785166,-14.33010993785166,14.33010993785166,143,4.300918790151027,178
Ligue 1,2024-2025,Stade de Reims,10,33,16,47.33010993785166,-14.33010993785166,14.33010993785166,144,5.300918790151027,102
Premier League,2018-2019,Wolverhampton Wanderers,12,57,7,42.81607320182344,14.183926798176557,14.183926798176557,145,-5.269116433102241,105
Ligue 1,2021-2022,Nantes,13,55,9,40.93947720451189,14.060522795488112,14.060522795488112,146,-3.99338486749264,213
Bundesliga,2020-2021,Borussia Mönchengladbach,5,49,8,63.05346276945188,-14.053462769451883,14.053462769451883,147,1.9347472493735758,521
Premier League,2017-2018,Manchester United,4,81,2,66.95897807717701,14.041021922822992,14.041021922822992,148,-3.0169887043094485,334
Bundesliga,2020-2021,1. FC Union Berlin,17,50,7,35.96924235328262,14.030757646717383,14.030757646717383,149,-8.485464090146028,13
Ligue 1,2015-2016,Angers,17,50,9,35.96924235328262,14.030757646717383,14.030757646717383,150,-6.485464090146028,54
Ligue 1,2020-2021,Dijon FCO,19,21,20,35.00581441047815,-14.005814410478152,14.005814410478152,151,3.511493007472211,263
Premier League,2019-2020,Norwich City,19,21,20,35.00581441047815,-14.005814410478152,14.005814410478152,152,3.511493007472211,265
Bundesliga,2021-2022,Eintracht Frankfurt,7,42,11,56.00327689540669,-14.003276895406692,14.003276895406692,153,2.959717511212091,353
La Liga,2024-2025,Villarreal,7,70,5,56.00327689540669,13.996723104593308,13.996723104593308,154,-3.040282488787909,325
Bundesliga,2017-2018,FC Cologne,17,22,18,35.96924235328262,-13.969242353282617,13.969242353282617,155,2.514535909853972,387
Bundesliga,2022-2023,TSG Hoffenheim,9,36,12,49.96755067656831,-13.967550676568308,13.967550676568308,156,2.1466855790138926,431
Premier League,2017-2018,Southampton,9,36,17,49.96755067656831,-13.967550676568308,13.967550676568308,157,7.146685579013893,31
La Liga,2019-2020,Valencia,4,53,9,66.95897807717701,-13.958978077177008,13.958978077177008,158,3.9830112956905515,225
Premier League,2017-2018,Tottenham Hotspur,5,77,3,63.05346276945188,13.946537230548117,13.946537230548117,159,-3.065252750626424,321
Bundesliga,2019-2020,Werder Bremen,11,31,16,44.9462841129367,-13.946284112936702,13.946284112936702,160,4.495651452778981,153
Ligue 1,2019-2020,SC Amiens,16,23,19,36.831378695387386,-13.831378695387386,13.831378695387386,161,4.076806538281087,188
Serie A,2023-2024,Internazionale,1,94,1,80.1972134831626,13.8027865168374,13.8027865168374,162,-0.6291998564135926,842
Ligue 1,2018-2019,Nimes,14,53,9,39.31649612100202,13.683503878997982,13.683503878997982,163,-4.677153850392219,142
Serie A,2015-2016,Sassuolo,10,61,6,47.33010993785166,13.66989006214834,13.66989006214834,164,-4.699081209848973,137
Serie A,2023-2024,Lazio,10,61,7,47.33010993785166,13.66989006214834,13.66989006214834,165,-3.6990812098489734,249
Premier League,2023-2024,Arsenal,2,89,2,75.53085343403237,13.469146565967634,13.469146565967634,166,-0.7989622572030326,778
Premier League,2021-2022,Norwich City,18,22,20,35.360720924979546,-13.360720924979546,13.360720924979546,167,3.9927647329176814,221
Bundesliga,2023-2024,Borussia Mönchengladbach,10,34,14,47.33010993785166,-13.33010993785166,13.33010993785166,168,3.3009187901510266,286
Premier League,2018-2019,Fulham,14,26,19,39.31649612100202,-13.316496121002018,13.316496121002018,169,5.322846149607781,99
La Liga,2022-2023,Mallorca,16,50,9,36.831378695387386,13.168621304612614,13.168621304612614,170,-5.923193461718913,76
Premier League,2018-2019,Watford,16,50,11,36.831378695387386,13.168621304612614,13.168621304612614,171,-3.9231934617189133,239
Premier League,2020-2021,Leicester City,8,66,5,52.858606329086655,13.141393670913345,13.141393670913345,172,-3.9670481806324194,230
Premier League,2024-2025,Newcastle United,8,66,5,52.858606329086655,13.141393670913345,13.141393670913345,173,-3.9670481806324194,231
Bundesliga,2021-2022,RB Leipzig,3,58,4,71.11810829870385,-13.118108298703845,13.118108298703845,174,0.07177479349834881,920
Bundesliga,2022-2023,Eintracht Frankfurt,5,50,7,63.05346276945188,-13.053462769451883,13.053462769451883,175,0.9347472493735758,725
Ligue 1,2023-2024,Marseille,5,50,8,63.05346276945188,-13.053462769451883,13.053462769451883,176,1.9347472493735758,523
La Liga,2022-2023,Rayo Vallecano,17,49,11,35.96924235328262,13.030757646717383,13.030757646717383,177,-4.485464090146028,165
Serie A,2019-2020,Hellas Verona,17,49,9,35.96924235328262,13.030757646717383,13.030757646717383,178,-6.485464090146028,56
Premier League,2024-2025,Ipswich Town,19,22,19,35.00581441047815,-13.005814410478152,13.005814410478152,179,2.511493007472211,400
Bundesliga,2024-2025,VfL Wolfsburg,7,43,11,56.00327689540669,-13.003276895406692,13.003276895406692,180,2.959717511212091,354
La Liga,2020-2021,Valencia,7,43,13,56.00327689540669,-13.003276895406692,13.003276895406692,181,4.959717511212091,128
Ligue 1,2019-2020,Nantes,9,37,13,49.96755067656831,-12.967550676568308,12.967550676568308,182,3.1466855790138926,300
Bundesliga,2018-2019,VfB Stuttgart,13,28,16,40.93947720451189,-12.939477204511888,12.939477204511888,183,3.00661513250736,336
La Liga,2016-2017,Osasuna,20,22,19,34.90452280977847,-12.90452280977847,12.90452280977847,184,2.070720733517561,455
Serie A,2015-2016,Sampdoria,8,40,15,52.858606329086655,-12.858606329086655,12.858606329086655,185,6.032951819367581,66
Serie A,2020-2021,Fiorentina,8,40,13,52.858606329086655,-12.858606329086655,12.858606329086655,186,4.032951819367581,204
Ligue 1,2022-2023,Troyes,16,24,19,36.831378695387386,-12.831378695387386,12.831378695387386,187,4.076806538281087,190
Premier League,2016-2017,Sunderland,16,24,20,36.831378695387386,-12.831378695387386,12.831378695387386,188,5.076806538281087,110
La Liga,2016-2017,Real Madrid,1,93,1,80.1972134831626,12.8027865168374,12.8027865168374,189,-0.6291998564135926,815
La Liga,2017-2018,Barcelona,1,93,1,80.1972134831626,12.8027865168374,12.8027865168374,190,-0.6291998564135926,816
Ligue 1,2017-2018,Paris Saint-Germain,1,93,1,80.1972134831626,12.8027865168374,12.8027865168374,191,-0.6291998564135926,821
Premier League,2016-2017,Chelsea,1,93,1,80.1972134831626,12.8027865168374,12.8027865168374,192,-0.6291998564135926,828
Premier League,2021-2022,Manchester City,1,93,1,80.1972134831626,12.8027865168374,12.8027865168374,193,-0.6291998564135926,832
Bundesliga,2021-2022,FC Cologne,14,52,7,39.31649612100202,12.683503878997982,12.683503878997982,194,-6.677153850392219,46
La Liga,2024-2025,Osasuna,14,52,9,39.31649612100202,12.683503878997982,12.683503878997982,195,-4.677153850392219,141
Premier League,2019-2020,Southampton,14,52,11,39.31649612100202,12.683503878997982,12.683503878997982,196,-2.6771538503922194,386
La Liga,2017-2018,Real Betis,10,60,6,47.33010993785166,12.66989006214834,12.66989006214834,197,-4.699081209848973,136
La Liga,2022-2023,Barcelona,2,88,1,75.53085343403237,12.469146565967634,12.469146565967634,198,-1.7989622572030326,561
La Liga,2024-2025,Barcelona,2,88,1,75.53085343403237,12.469146565967634,12.469146565967634,199,-1.7989622572030326,562
Bundesliga,2023-2024,Eintracht Frankfurt,6,47,6,59.40156237552844,-12.401562375528442,12.401562375528442,200,-1.0730173454525769,638
Premier League,2020-2021,Sheffield United,18,23,20,35.360720924979546,-12.360720924979546,12.360720924979546,201,3.9927647329176814,220
Ligue 1,2019-2020,Paris Saint-Germain,1,68,1,80.1972134831626,-12.1972134831626,12.1972134831626,202,-0.6291998564135926,823
La Liga,2021-2022,Real Betis,8,65,5,52.858606329086655,12.141393670913345,12.141393670913345,203,-3.9670481806324194,228
Premier League,2019-2020,Tottenham Hotspur,3,59,6,71.11810829870385,-12.118108298703845,12.118108298703845,204,2.071774793498349,453
Bundesliga,2018-2019,TSG Hoffenheim,5,51,9,63.05346276945188,-12.053462769451883,12.053462769451883,205,2.934747249373576,357
Ligue 1,2016-2017,Guingamp,15,50,10,37.94712995129385,12.052870048706147,12.052870048706147,206,-4.320423381800978,173
Serie A,2021-2022,Napoli,4,79,3,66.95897807717701,12.041021922822992,12.041021922822992,207,-2.0169887043094485,482
Premier League,2015-2016,West Ham United,9,62,7,49.96755067656831,12.032449323431692,12.032449323431692,208,-2.8533144209861074,368
Serie A,2020-2021,Sassuolo,9,62,8,49.96755067656831,12.032449323431692,12.032449323431692,209,-1.8533144209861074,558
La Liga,2024-2025,Mallorca,17,48,10,35.96924235328262,12.030757646717383,12.030757646717383,210,-5.485464090146028,96
Premier League,2021-2022,Crystal Palace,17,48,12,35.96924235328262,12.030757646717383,12.030757646717383,211,-3.485464090146028,279
Premier League,2021-2022,Watford,19,23,19,35.00581441047815,-12.005814410478152,12.005814410478152,212,2.511493007472211,399
Serie A,2020-2021,Crotone,19,23,19,35.00581441047815,-12.005814410478152,12.005814410478152,213,2.511493007472211,402
Premier League,2023-2024,Aston Villa,7,68,4,56.00327689540669,11.996723104593308,11.996723104593308,214,-4.040282488787909,203
Serie A,2020-2021,Lazio,7,68,6,56.00327689540669,11.996723104593308,11.996723104593308,215,-2.040282488787909,469
Bundesliga,2017-2018,Bayer Leverkusen,4,55,5,66.95897807717701,-11.958978077177008,11.958978077177008,216,-0.016988704309448543,959
Ligue 1,2021-2022,Lille,4,55,10,66.95897807717701,-11.958978077177008,11.958978077177008,217,4.9830112956905515,124
Bundesliga,2021-2022,Hertha Berlin,11,33,16,44.9462841129367,-11.946284112936702,11.946284112936702,218,4.495651452778981,154
Bundesliga,2022-2023,VfB Stuttgart,11,33,16,44.9462841129367,-11.946284112936702,11.946284112936702,219,4.495651452778981,155
Bundesliga,2023-2024,1. FC Union Berlin,11,33,15,44.9462841129367,-11.946284112936702,11.946284112936702,220,3.495651452778981,274
Ligue 1,2023-2024,Lorient,13,29,17,40.93947720451189,-11.939477204511888,11.939477204511888,221,4.00661513250736,208
Bundesliga,2019-2020,Hertha Berlin,8,41,10,52.858606329086655,-11.858606329086655,11.858606329086655,222,1.0329518193675806,670
Bundesliga,2015-2016,Hannover 96,16,25,18,36.831378695387386,-11.831378695387386,11.831378695387386,223,3.0768065382810867,304
