League,Season,Financial_Rank,Team,Market_Value_M_EUR
Bundesliga,2024-2025,4,Borussia Dortmund,508.28
Bundesliga,2024-2025,5,Eintracht Frankfurt,431.25
Bundesliga,2024-2025,6,VfB Stuttgart,365.23
Bundesliga,2024-2025,7,VfL Wolfsburg,296.3
Bundesliga,2024-2025,8,Borussia Mönchengladbach,187.5
Bundesliga,2024-2025,9,TSG 1899 Hoffenheim,187.1
Bundesliga,2024-2025,10,SC Freiburg,186.2
Bundesliga,2024-2025,11,1.FSV Mainz 05,175.13
Bundesliga,2024-2025,12,FC Augsburg,158.88
Bundesliga,2024-2025,13,1.FC Union Berlin,136.05
Bundesliga,2024-2025,14,SV Werder Bremen,132
Bundesliga,2024-2025,15,1.FC Heidenheim 1846,72.53
Bundesliga,2024-2025,16,FC St. Pauli,65.78
Bundesliga,2024-2025,17,VfL Bochum,57.1
Bundesliga,2024-2025,18,Holstein Kiel,47.13
